state,account_length,area_code,phone_number,intl_plan,voice_mail_plan,total_day_calls,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churned
OR,151,510, 339-1405,no,no,108,233.4,118,19.84,195.7,141,8.81,7.7,6,2.08,4,False
NV,105,415, 380-7742,yes,yes,82,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,True
DC,41,408, 329-6191,no,yes,110,221.9,115,18.86,189.1,100,8.51,7.3,1,1.97,2,False
UT,48,510, 340-3075,no,yes,111,200.2,64,17.02,233.1,96,10.49,8.0,5,2.16,1,False
WA,166,408, 416-5849,yes,yes,138,274.5,113,23.33,298.9,130,13.45,8.8,7,2.38,2,False
FL,79,510, 334-7443,no,no,119,290.9,121,24.73,194.8,140,8.77,14.0,6,3.78,3,False
VA,153,510, 394-9121,no,no,107,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,False
KS,110,415, 383-1657,yes,no,79,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,True
KS,163,415, 347-4112,no,no,89,193.9,87,16.48,268.4,121,12.08,12.8,4,3.46,1,False
DC,126,510, 362-8280,no,no,88,143.8,111,12.22,157.0,106,7.07,11.5,3,3.11,1,False
ME,105,408, 402-9982,no,yes,68,146.9,140,12.49,121.0,131,5.44,10.6,3,2.86,2,False
LA,172,415, 392-8905,no,no,140,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,False
DC,126,415, 392-5512,no,no,110,220.6,125,18.75,249.2,78,11.21,5.1,2,1.38,0,False
TX,97,510, 351-6384,no,no,91,226.7,137,19.27,144.6,72,6.51,13.8,4,3.73,3,False
NJ,95,408, 348-8015,yes,yes,109,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,0,True
DE,87,510, 374-6966,no,no,105,160.7,102,13.66,249.4,80,11.22,7.4,2,2.0,4,False
VT,97,415, 328-2236,no,no,119,217.7,109,18.5,152.1,76,6.84,6.5,5,1.76,1,False
GA,76,415, 372-6497,no,no,125,226.7,92,19.27,210.7,134,9.48,13.7,4,3.7,0,True
TX,140,408, 417-8617,no,no,107,170.9,99,14.53,225.1,93,10.13,13.9,4,3.75,0,False
MT,169,415, 361-9621,no,no,112,230.0,69,19.55,193.6,95,8.71,9.5,2,2.57,0,False
ND,68,408, 421-2723,no,yes,97,289.9,94,24.64,180.0,114,8.1,4.8,4,1.3,3,False
NJ,122,415, 327-9341,no,yes,104,89.7,103,7.62,220.0,91,9.9,15.6,4,4.21,2,False
MO,36,408, 383-5474,no,no,129,224.6,87,19.09,306.3,102,13.78,10.8,6,2.92,2,False
CO,120,510, 328-8147,no,yes,84,194.0,73,16.49,256.5,94,11.54,10.2,7,2.75,5,False
KS,121,408, 373-5438,no,no,105,197.3,133,16.77,169.0,116,7.61,9.2,15,2.48,1,False
NC,64,408, 333-9253,no,yes,106,127.5,92,10.84,237.4,118,10.68,7.5,3,2.03,0,False
MT,13,415, 347-9421,no,yes,94,147.6,95,12.55,259.3,117,11.67,12.9,1,3.48,1,False
DE,106,415, 419-3167,no,no,83,134.0,114,11.39,210.6,113,9.48,11.4,2,3.08,0,False
ND,88,415, 414-4162,no,no,92,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,False
VA,74,408, 416-5341,no,no,120,198.5,106,16.87,208.5,102,9.38,9.8,3,2.65,1,False
IL,83,415, 368-8600,no,no,92,210.5,83,17.89,180.6,92,8.13,11.0,13,2.97,0,False
OK,49,415, 336-6085,no,no,79,265.1,93,22.53,239.8,128,10.79,15.6,7,4.21,0,False
CO,111,510, 377-1479,no,yes,114,219.3,99,18.64,215.9,95,9.72,14.0,4,3.78,1,False
MT,50,415, 360-2107,no,yes,112,177.9,99,15.12,158.4,146,7.13,8.5,4,2.3,3,False
WV,153,408, 405-9384,no,yes,74,227.9,37,19.37,170.3,103,7.66,15.4,9,4.16,0,False
ME,88,415, 420-5179,no,no,91,127.6,127,10.85,155.6,125,7.0,7.5,5,2.03,1,False
WI,131,415, 331-3174,no,yes,122,101.3,136,8.61,104.8,94,4.72,9.1,4,2.46,0,False
MO,79,408, 411-5958,no,no,97,210.6,48,17.9,256.7,83,11.55,6.0,3,1.62,3,True
NY,140,415, 333-8180,no,no,81,257.2,130,21.86,103.1,111,4.64,11.5,4,3.11,2,False
CT,105,408, 357-2679,no,no,100,204.9,52,17.42,179.7,93,8.09,9.5,6,2.57,1,False
AR,54,415, 396-2867,no,yes,143,127.8,72,10.86,199.2,120,8.96,9.2,1,2.48,3,False
WY,87,415, 341-9443,no,yes,65,103.4,115,8.79,208.1,109,9.36,8.5,3,2.3,3,False
CA,96,510, 341-4103,no,yes,126,195.5,106,16.62,180.1,93,8.1,10.5,5,2.84,1,False
CA,79,510, 416-8701,no,no,85,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54,5,True
MN,55,415, 397-6109,no,no,147,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,False
AK,130,415, 392-5587,no,no,101,102.8,114,8.74,142.4,89,6.41,9.3,2,2.51,2,False
VA,34,415, 392-9342,no,no,102,131.4,101,11.17,186.6,86,8.4,9.9,7,2.67,0,False
CO,139,415, 368-2845,no,no,103,164.5,100,13.98,134.9,63,6.07,8.3,2,2.24,1,False
MT,109,408, 405-4920,no,no,69,305.0,120,25.93,197.4,86,8.88,9.5,9,2.57,1,True
SD,65,408, 348-7484,no,yes,70,152.0,89,12.92,225.5,93,10.15,12.0,4,3.24,1,False
NE,63,415, 338-5207,no,no,80,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0,False
VT,152,415, 418-7846,no,no,126,130.1,76,11.06,78.1,100,3.51,7.4,4,2.0,3,False
ND,147,408, 358-8729,no,no,95,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,False
GA,112,415, 349-1943,no,yes,110,228.1,123,19.39,262.7,141,11.82,9.2,4,2.48,2,False
OR,120,415, 368-8283,no,no,120,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,False
MT,27,510, 345-1419,no,no,102,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,False
WY,171,415, 358-8025,no,no,135,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,False
GA,101,415, 383-8695,no,yes,108,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0,False
WV,32,408, 370-7565,no,yes,109,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1,False
CT,3,415, 401-6162,no,yes,117,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,False
IL,151,408, 386-5303,no,no,106,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19,0,False
CO,60,408, 351-6552,no,no,99,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3,False
DE,119,415, 345-5338,no,no,90,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03,1,False
LA,43,415, 330-2849,no,no,101,129.4,121,11.0,264.8,104,11.92,5.9,3,1.59,1,False
MA,42,408, 364-6801,no,no,134,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86,0,False
IN,84,408, 375-3003,no,no,99,236.0,68,20.06,118.3,120,5.32,9.4,4,2.54,1,False
NY,65,510, 383-8878,no,no,110,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4,0,False
TX,75,415, 384-2372,yes,no,78,327.0,111,27.8,208.0,104,9.36,8.7,9,2.35,1,True
KS,116,510, 377-7107,no,no,90,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,False
WV,107,415, 361-1581,no,no,100,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,False
NE,189,415, 417-7888,no,yes,98,150.5,120,12.79,123.0,87,5.54,11.4,3,3.08,3,False
ND,123,408, 383-8364,no,no,94,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,False
AK,110,408, 396-2335,no,no,90,233.3,93,19.83,204.4,57,9.2,11.1,8,3.0,3,False
CO,63,415, 408-4530,no,yes,113,187.0,113,15.9,230.8,101,10.39,8.6,7,2.32,1,False
ME,176,415, 408-6621,no,no,76,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,False
SC,108,510, 393-7522,no,no,101,199.9,126,16.99,216.1,107,9.72,12.6,8,3.4,1,False
MN,13,510, 338-7120,no,yes,105,208.9,71,17.76,260.1,123,11.7,12.1,3,3.27,3,False
CO,71,415, 357-4265,no,no,104,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21,1,False
KS,88,415, 398-8801,no,no,111,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,False
MS,137,510, 346-2347,no,no,119,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,False
NE,82,408, 343-2741,no,no,36,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,False
NJ,92,510, 420-8242,no,yes,110,188.5,104,16.02,254.9,118,11.47,8.0,4,2.16,3,False
WI,165,510, 402-7746,no,no,91,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6,False
MT,96,415, 332-1494,no,no,98,105.5,118,8.97,220.2,105,9.91,11.6,9,3.13,1,False
AR,156,415, 388-6223,no,no,94,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03,1,False
WA,63,408, 404-9539,no,no,104,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,False
NH,37,415, 341-7332,no,no,89,186.0,88,15.81,307.1,86,13.82,8.4,11,2.27,0,False
IA,98,415, 338-7886,no,no,86,190.8,114,16.22,187.5,79,8.44,11.0,9,2.97,0,False
WV,121,415, 332-5596,no,no,110,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0,False
RI,94,415, 348-9945,no,no,95,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0,False
KS,99,415, 407-1896,no,no,110,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1,False
MT,163,510, 398-9408,no,yes,104,189.4,64,16.1,229.9,118,10.35,10.4,7,2.81,1,False
MO,161,510, 369-8005,no,no,95,193.0,82,16.41,194.1,113,8.73,6.5,4,1.76,3,False
HI,99,415, 346-2530,no,no,81,231.0,64,19.64,168.9,121,7.6,8.5,5,2.3,1,False
CO,108,415, 400-5984,no,no,78,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,False
CT,84,510, 351-1007,no,yes,97,223.5,118,19.0,260.8,72,11.74,7.6,7,2.05,3,False
ID,83,415, 345-5980,yes,yes,111,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2,False
DC,139,510, 368-8964,no,no,81,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62,2,False
TN,69,510, 358-1912,no,no,70,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38,3,False
WY,129,510, 379-3132,no,no,114,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08,4,False
MO,106,415, 340-9910,no,no,104,78.3,101,6.66,232.7,78,10.47,0.0,0,0.0,2,False
VA,158,415, 396-2719,no,no,101,203.0,128,17.26,210.6,106,9.48,6.9,2,1.86,2,False
SD,168,415, 369-6204,no,yes,70,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2,False
WV,115,510, 420-9971,yes,no,95,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,True
GA,57,408, 410-3782,yes,yes,130,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,False
AZ,67,415, 404-4481,no,no,116,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94,1,False
AK,127,408, 383-9255,no,no,124,169.9,110,14.44,184.0,116,8.28,9.3,3,2.51,1,False
AK,78,510, 418-9385,no,no,88,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2,False
CT,100,415, 360-9676,no,yes,88,163.7,108,13.91,242.7,72,10.92,7.4,2,2.0,0,False
UT,103,510, 327-3587,no,yes,92,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,6,True
KY,113,415, 385-4715,no,no,96,193.4,127,16.44,105.4,115,4.74,13.5,3,3.65,1,False
MI,78,510, 414-2695,no,no,109,237.6,49,20.2,206.7,136,9.3,14.0,11,3.78,3,False
OR,129,510, 331-5999,no,yes,103,177.0,83,15.05,216.5,118,9.74,16.4,5,4.43,1,False
TN,57,510, 337-7739,no,no,100,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2,False
WV,82,408, 388-6658,no,no,116,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,False
NJ,64,415, 405-6943,no,no,111,190.0,101,16.15,221.4,110,9.96,9.2,2,2.48,1,False
MS,86,510, 382-4084,no,yes,122,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,False
ME,151,415, 352-8249,no,yes,98,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62,0,False
WY,94,510, 353-8363,no,no,105,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,True
WY,90,415, 416-2825,no,no,121,292.5,104,24.86,226.3,103,10.18,8.0,1,2.16,2,False
IN,48,510, 342-6696,no,no,94,133.2,103,11.32,197.4,94,8.88,7.2,5,1.94,2,False
NM,85,408, 338-9210,no,yes,123,132.3,90,11.25,211.9,76,9.54,9.5,8,2.57,2,False
NJ,93,415, 328-1768,yes,yes,110,169.8,94,14.43,175.3,127,7.89,12.1,4,3.27,1,False
DC,169,415, 406-5870,yes,no,98,199.7,78,16.97,274.7,103,12.36,6.5,6,1.76,3,False
UT,68,415, 398-3834,no,no,86,155.0,86,13.18,189.7,87,8.54,11.0,9,2.97,5,True
KY,91,415, 330-7754,yes,no,89,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51,2,True
KS,68,510, 414-9054,no,no,123,240.8,93,20.47,210.3,76,9.46,11.4,3,3.08,1,False
MI,101,510, 350-2832,no,no,72,208.6,103,17.73,203.8,111,9.17,8.8,8,2.38,1,False
UT,67,510, 414-9027,no,yes,40,189.1,58,16.07,162.2,115,7.3,9.4,2,2.54,1,False
NE,66,415, 337-1225,no,no,133,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11,0,False
FL,116,415, 394-6577,no,yes,112,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08,5,False
LA,158,408, 359-6995,no,no,126,163.5,86,13.9,195.4,84,8.79,10.4,6,2.81,1,False
MT,78,415, 377-7561,no,no,122,241.4,88,20.52,203.5,86,9.16,9.1,5,2.46,1,False
WA,119,415, 380-6631,no,yes,97,250.3,110,21.28,142.4,92,6.41,6.6,8,1.78,1,False
MI,120,415, 390-8876,no,no,85,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1,False
KY,155,510, 413-2201,no,no,102,196.0,117,16.66,226.5,122,10.19,7.8,1,2.11,1,False
LA,106,408, 374-2073,no,no,120,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1,False
NM,87,510, 417-1272,yes,no,119,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1,False
AL,146,415, 358-1129,no,yes,80,185.5,91,15.77,148.2,107,6.67,8.2,4,2.21,3,False
MO,101,415, 394-1211,no,yes,116,186.4,100,15.84,241.7,75,10.88,10.1,6,2.73,0,False
CO,22,510, 327-1319,no,yes,94,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43,3,False
TX,90,415, 399-4413,no,no,88,137.6,108,11.7,159.7,121,7.19,11.0,5,2.97,2,False
NY,41,415, 393-9985,no,no,105,121.9,105,10.36,253.7,104,11.42,9.6,4,2.59,1,False
OR,69,415, 401-8377,no,no,76,242.1,92,20.58,101.2,103,4.55,11.4,4,3.08,2,False
WY,33,415, 331-3202,no,no,88,239.8,119,20.38,148.7,71,6.69,9.8,14,2.65,2,False
UT,112,415, 358-5953,no,no,108,243.3,111,20.68,184.6,78,8.31,13.1,5,3.54,1,False
LA,108,510, 380-7624,no,yes,99,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65,2,False
NV,136,415, 416-5261,no,yes,88,181.1,97,15.39,320.7,120,14.43,9.5,4,2.57,2,False
NC,128,510, 417-5067,no,no,84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73,1,False
NC,27,408, 345-6515,no,no,128,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2,False
WY,161,415, 406-1349,yes,no,78,267.4,117,22.73,184.5,137,8.3,1.3,6,0.35,1,False
TN,33,415, 360-9038,no,yes,124,261.0,69,22.19,317.8,103,14.3,15.0,5,4.05,0,False
FL,120,415, 348-3444,no,yes,83,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08,0,False
CA,113,415, 370-2892,no,no,97,208.2,118,17.7,158.9,101,7.15,8.7,6,2.35,2,False
PA,122,415, 383-4061,yes,no,132,243.2,99,20.67,182.4,57,8.21,11.0,2,2.97,0,True
WV,148,415, 391-7937,no,yes,150,118.0,138,10.03,236.0,91,10.62,15.2,4,4.1,2,False
NJ,74,415, 389-4083,no,no,93,223.0,78,18.96,157.8,101,7.1,9.7,2,2.62,3,False
MT,106,415, 410-9633,no,no,104,250.2,117,21.27,144.9,81,6.52,11.0,3,2.97,1,False
MN,179,415, 418-9502,no,no,54,191.1,108,16.24,214.6,107,9.66,13.3,4,3.59,1,False
WI,149,415, 339-6637,yes,yes,97,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38,5,True
ID,77,510, 356-3403,no,no,112,207.0,95,17.6,214.1,91,9.63,9.2,7,2.48,0,False
MA,127,408, 371-9457,yes,no,110,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08,1,True
OR,80,415, 391-8087,no,no,99,198.8,81,16.9,228.4,116,10.28,10.6,4,2.86,1,False
MT,106,510, 392-6420,no,no,107,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89,1,False
AL,61,415, 399-4094,no,yes,133,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0,False
ND,135,510, 378-4013,yes,yes,54,215.0,105,18.28,234.3,84,10.54,5.8,4,1.57,2,False
LA,115,415, 386-6306,no,yes,107,217.2,77,18.46,225.7,71,10.16,13.6,5,3.67,6,False
ND,167,408, 359-3618,yes,no,100,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,False
MS,107,510, 340-8875,yes,no,104,183.8,68,15.62,153.8,67,6.92,11.0,9,2.97,2,False
WV,112,415, 330-2693,yes,no,138,200.9,114,17.08,134.0,134,6.03,10.7,4,2.89,1,False
WI,35,510, 403-7627,no,yes,87,142.0,101,12.07,288.9,68,13.0,9.4,4,2.54,1,False
KS,103,408, 342-3678,yes,no,124,170.4,66,14.48,280.2,78,12.61,9.4,4,2.54,3,False
MO,107,415, 344-9943,no,yes,83,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1,False
PA,69,415, 390-5686,no,no,70,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89,3,False
SD,85,408, 358-5826,no,no,82,194.5,94,16.53,200.4,85,9.02,11.3,3,3.05,0,False
NJ,24,408, 393-7826,no,no,86,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2,True
AL,90,415, 335-9786,no,no,97,117.8,117,10.01,133.7,78,6.02,11.8,2,3.19,2,False
ME,137,510, 368-9860,no,no,79,223.2,111,18.97,169.5,64,7.63,10.5,3,2.84,3,False
AZ,92,415, 416-9522,yes,yes,88,198.0,103,16.83,94.3,76,4.24,7.5,3,2.03,0,False
VT,38,415, 416-7307,no,no,86,286.3,76,24.34,167.0,77,7.52,14.1,3,3.81,2,False
NV,69,510, 397-6789,yes,yes,98,253.4,102,21.54,165.4,85,7.44,8.2,2,2.21,1,True
WI,45,408, 335-9501,no,no,108,218.8,120,18.6,240.2,106,10.81,9.0,3,2.43,2,False
HI,73,408, 388-1250,no,no,118,239.7,90,20.37,167.5,108,7.54,15.1,2,4.08,1,False
DE,92,415, 386-1374,no,no,84,269.3,105,22.89,158.9,105,7.15,10.8,4,2.92,1,False
AZ,113,415, 346-8112,no,yes,89,129.4,124,11.0,166.9,124,7.51,8.4,2,2.27,1,False
VA,68,408, 364-9040,yes,no,126,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92,1,True
GA,135,415, 366-3944,no,yes,113,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,False
AZ,100,415, 331-9861,no,yes,115,137.8,146,11.71,213.5,104,9.61,15.9,5,4.29,1,False
MN,96,415, 330-2881,no,yes,96,220.9,101,18.78,179.4,97,8.07,11.3,2,3.05,1,False
ME,108,510, 402-9558,no,no,102,202.4,134,17.2,180.1,95,8.1,9.4,5,2.54,1,False
FL,84,510, 341-3180,no,no,88,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,False
WA,134,408, 371-8598,no,no,86,253.6,89,21.56,291.0,86,13.1,12.6,3,3.4,1,False
MT,72,415, 398-8385,no,no,73,219.3,78,18.64,210.8,89,9.49,9.8,4,2.65,0,False
AL,83,408, 333-4154,no,no,87,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,False
WV,137,408, 330-3589,no,no,120,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,False
GA,56,415, 417-1477,no,yes,89,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27,1,False
OH,61,510, 327-5525,yes,yes,76,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,0,False
DE,171,510, 363-8244,no,yes,94,240.0,138,20.4,200.9,64,9.04,5.8,3,1.57,1,False
NE,123,510, 419-9104,no,no,118,242.0,114,20.57,146.3,108,6.58,12.1,4,3.27,1,False
FL,58,510, 363-1560,no,no,89,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,False
AK,156,510, 341-4075,no,no,96,103.0,80,8.76,189.4,82,8.52,13.1,4,3.54,1,False
WI,166,510, 366-9074,no,no,103,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13,0,False
WA,75,510, 367-1424,no,yes,115,203.4,110,17.29,171.7,68,7.73,12.4,4,3.35,1,False
KY,75,415, 341-1191,no,no,102,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54,2,True
OH,83,510, 342-9480,no,no,78,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,1,False
UT,243,510, 355-9360,no,no,92,163.7,63,13.91,264.2,118,11.89,6.6,6,1.78,2,False
NM,153,408, 343-1538,no,no,127,208.0,73,17.68,206.1,124,9.27,15.1,3,4.08,1,False
MN,150,415, 335-2331,no,no,133,202.7,95,17.23,234.7,103,10.56,13.1,3,3.54,1,False
WV,92,510, 335-7257,no,yes,99,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43,2,False
MN,80,415, 332-2137,no,no,110,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54,0,False
AL,134,415, 352-2998,no,no,110,153.8,64,13.07,236.6,105,10.65,11.7,4,3.16,1,False
PA,77,510, 346-6941,no,yes,74,123.9,72,10.53,174.3,84,7.84,10.1,6,2.73,1,False
DE,147,510, 400-2203,no,no,104,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05,2,False
MO,74,415, 421-2955,no,no,105,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,False
IL,138,510, 331-6629,yes,no,82,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,False
FL,143,415, 343-6314,no,no,117,287.7,136,24.45,223.0,100,10.04,12.2,4,3.29,0,False
HI,64,415, 414-6638,no,no,147,173.4,87,14.74,268.7,114,12.09,5.5,2,1.49,2,False
ME,120,510, 350-5883,no,no,56,230.1,73,19.56,119.8,81,5.39,9.9,3,2.67,2,False
CO,121,408, 409-4447,yes,no,94,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3,True
NH,88,415, 376-4856,no,no,86,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19,2,False
SC,87,408, 335-1874,no,no,106,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2,True
IN,100,510, 397-6255,no,no,107,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,False
FL,104,415, 381-5047,no,no,116,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54,3,False
GA,27,510, 403-6850,no,no,75,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67,1,False
IL,81,415, 375-3658,no,yes,100,225.5,97,19.17,168.7,120,7.59,9.7,4,2.62,0,False
NC,64,510, 341-2603,yes,yes,93,162.9,104,13.85,247.4,109,11.13,8.1,13,2.19,0,False
VT,107,510, 342-5062,no,yes,79,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21,1,False
DC,88,415, 354-1558,no,yes,78,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35,1,False
VT,111,408, 351-9537,no,no,112,270.5,136,22.99,225.3,94,10.14,9.0,6,2.43,3,False
NV,77,415, 401-1252,no,no,114,150.0,115,12.75,160.8,81,7.24,10.3,2,2.78,5,False
OR,67,415, 366-9538,yes,no,58,235.0,88,19.98,95.1,130,4.28,11.4,11,3.08,2,False
AL,102,408, 364-7622,no,no,81,129.4,112,11.0,167.6,109,7.54,15.8,6,4.27,1,False
ND,146,408, 393-9918,no,yes,88,162.7,66,13.83,215.5,98,9.7,14.6,6,3.94,1,False
FL,144,415, 376-4484,no,yes,98,192.0,109,16.32,196.3,85,8.83,10.0,4,2.7,1,False
NE,96,415, 410-6791,no,no,92,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78,1,True
ND,70,415, 343-2392,no,yes,101,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78,1,False
ME,149,408, 408-4323,no,no,79,192.4,107,16.35,207.4,111,9.33,9.1,9,2.46,0,False
IL,129,415, 395-1718,no,no,91,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2,False
WA,166,408, 354-9492,no,no,110,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0,False
MA,136,408, 367-8168,yes,no,89,211.4,96,17.97,72.4,84,3.26,11.0,4,2.97,3,True
KS,149,510, 340-3500,no,no,91,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,3,False
RI,70,415, 369-4962,no,no,96,235.9,90,20.05,260.2,113,11.71,7.6,6,2.05,3,False
MO,120,415, 334-8967,no,yes,73,257.5,103,21.89,227.8,119,10.25,9.7,13,2.62,2,False
IA,66,510, 402-2377,no,no,135,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67,2,False
WY,104,408, 366-3917,no,no,133,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43,1,False
NV,160,415, 333-3531,no,no,90,196.0,115,16.66,263.9,95,11.88,9.2,4,2.48,1,False
WI,129,415, 333-8954,no,yes,94,165.4,103,14.06,185.0,81,8.32,11.7,8,3.16,1,False
AL,93,408, 374-9203,no,no,114,223.0,74,18.96,262.7,90,11.82,11.3,3,3.05,3,True
HI,169,415, 334-3289,no,no,111,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2,False
MO,58,415, 353-7822,no,no,145,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1,False
CA,75,510, 350-1422,no,yes,132,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54,3,False
MO,45,408, 385-8406,no,no,71,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35,1,False
CT,155,510, 380-7277,no,no,108,183.7,103,15.61,80.2,108,3.61,8.9,4,2.4,3,False
MD,52,415, 352-1798,no,no,114,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,False
OH,119,415, 385-7922,no,yes,128,268.2,133,22.8,146.5,80,6.59,11.1,3,3.0,0,False
NV,86,510, 353-7730,no,no,72,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,False
MD,42,408, 337-7163,no,no,89,241.3,123,20.51,143.2,105,6.44,4.0,7,1.08,0,False
NE,127,510, 348-5567,yes,no,114,209.5,118,17.81,249.9,105,11.25,7.4,4,2.0,2,False
OH,123,408, 420-9575,no,no,150,251.6,90,21.39,258.0,93,11.61,14.9,5,4.02,0,False
